Rule_Number,Job_Name,Rule_Execution,Program_Type,Module_Name,Sub_Module,Input_File,Input_File_Layout,Input_File_Length,Output_File,Output_File_Layout,Business_Rule_Category,Linkage_Columns,Detailed_Business_Rule,SQL_Decision_Control_Statements,SQL_Function,Code_Reference,Bounded_Context,DB2_Table_Name,Review_Comments
BR-CBADMCDJ-152,CBADMCDJ,152,COBOL,COACTUPC,1270-EDIT-US-STATE-CD,N/A,N/A,N/A,N/A,N/A,Data-Validation,WS-EDIT-ALPHANUM-ONLY,"Validates the 2-character US state code by lookup against the VALID-STATE-2 table (50 states + DC). Failure produces ""State must be a valid US state code.""",SEARCH VALID-STATE-2\n    AT END\n       SET FLG-STATE-NOT-OK TO TRUE\n    WHEN VALID-STATE-2-CD(STATE-IDX) =\n         WS-EDIT-ALPHANUM-ONLY(1:2)\n       SET FLG-STATE-ISVALID TO TRUE\nEND-SEARCH,N/A,2493-2510,Account Management — Update,N/A,Hardcoded US state code lookup table - externalize to configuration or database lookup; in cloud target use a reference data service
BR-CBADMCDJ-153,CBADMCDJ,153,COBOL,COACTUPC,1275-EDIT-FICO-SCORE,N/A,N/A,N/A,N/A,N/A,Data-Validation,ACUP-NEW-CUST-FICO-SCORE-N,"Validates the 3-digit FICO Credit Score is within the FICO range 300 to 850 inclusive. Out-of-range produces ""FICO score must be between 300 and 850.""",IF ACUP-NEW-CUST-FICO-SCORE-N < 300\nOR ACUP-NEW-CUST-FICO-SCORE-N > 850\n    SET FLG-FICO-SCORE-NOT-OK TO TRUE,N/A,2514-2530,Account Management — Update,N/A,"Hardcoded FICO range 300-850 - externalize to config (although FICO range is industry standard, externalization eases regression testing and change-management)"
BR-CBADMCDJ-154,CBADMCDJ,154,COBOL,COACTUPC,1280-EDIT-US-STATE-ZIP-CD,N/A,N/A,N/A,N/A,N/A,Data-Validation,"ACUP-NEW-CUST-ADDR-STATE-CD,ACUP-NEW-CUST-ADDR-ZIP","Validates the cross-field consistency of US state code and US zip code: the first 3 digits of the zip code must fall within the prefix range valid for the selected state, looked up via the VALID-US-STATE-ZIP-CD2 table. On mismatch, an error is raised and the cursor is positioned at the zip code field. The lookup table is hardcoded in the program and must be maintained as USPS issues new ZIP prefixes.",SEARCH VALID-US-STATE-ZIP-CD2\n    AT END\n       SET FLG-STATE-ZIP-NOT-OK TO TRUE\n    WHEN VALID-STATE-ZIP-CD2 = WS-VALIDATION-KEY\n       SET FLG-STATE-ZIP-ISVALID TO TRUE\nEND-SEARCH,N/A,2536-2557,Account Management — Update,N/A,Hardcoded US state-zip cross-reference table - externalize to reference data service / config table
BR-CBADMCDJ-155,CBADMCDJ,155,COBOL,COACTUPC,2000-DECIDE-ACTION - WHEN ACUP-DETAILS-NOT-FETCHED,N/A,N/A,N/A,N/A,N/A,Data-Validation,"FLG-ACCTFILTER-ISVALID,FOUND-CUST-IN-MASTER","When account details have not been fetched yet, perform the 9000-READ-ACCT lookup. If both account and customer are found, set ACUP-SHOW-DETAILS so the next iteration displays the data for editing.",WHEN ACUP-DETAILS-NOT-FETCHED\nWHEN CCARD-AID-PFK12\n   IF  FLG-ACCTFILTER-ISVALID\n       SET WS-RETURN-MSG-OFF       TO TRUE\n       PERFORM 9000-READ-ACCT\n          THRU 9000-READ-ACCT-EXIT\n       IF FOUND-CUST-IN-MASTER\n          SET ACUP-SHOW-DETAILS    TO TRUE\n       END-IF\n   END-IF,N/A,2568-2580,Account Management — Update,N/A,None
BR-CBADMCDJ-156,CBADMCDJ,156,COBOL,COACTUPC,2000-DECIDE-ACTION - WHEN ACUP-SHOW-DETAILS,N/A,N/A,N/A,N/A,N/A,Data-Validation,"INPUT-ERROR,NO-CHANGES-DETECTED","When details are shown and the user submits, if there are input edit errors or no changes detected, take no further action and redisplay the screen. Otherwise set ACUP-CHANGES-OK-NOT-CONFIRMED so the next iteration prompts the user for save confirmation via PF5. This is the two-phase commit pattern: validate first, then require explicit confirmation before persisting.",WHEN ACUP-SHOW-DETAILS\n   IF INPUT-ERROR\n   OR NO-CHANGES-DETECTED\n      CONTINUE\n   ELSE\n      SET ACUP-CHANGES-OK-NOT-CONFIRMED TO TRUE\n   END-IF,N/A,2585-2591,Account Management — Update,N/A,None
BR-CBADMCDJ-157,CBADMCDJ,157,COBOL,COACTUPC,2000-DECIDE-ACTION - WHEN ACUP-CHANGES-NOT-OK,N/A,N/A,N/A,N/A,N/A,Error-Handling,N/A,"When details are shown but input edit errors were found, take no further action and redisplay the screen so the user can correct the errors. The error messages and field-level highlights persist on the redisplay. This branch is the inner loop of the validate-edit-resubmit cycle.",WHEN ACUP-CHANGES-NOT-OK\n    CONTINUE,N/A,2596-2597,Account Management — Update,N/A,None
BR-CBADMCDJ-158,CBADMCDJ,158,COBOL,COACTUPC,2000-DECIDE-ACTION - WHEN PFK05 confirm save,N/A,N/A,N/A,N/A,N/A,File-IO,"ACUP-CHANGES-OK-NOT-CONFIRMED,CCARD-AID-PFK05","When changes are pending confirmation and the user pressed PF5 to save, perform 9600-WRITE-PROCESSING. Then evaluate the outcome flags: lock failure -> ACUP-CHANGES-OKAYED-LOCK-ERROR; update failure -> ACUP-CHANGES-OKAYED-BUT-FAILED; record was changed by another user since lookup -> ACUP-SHOW-DETAILS for re-display; success -> ACUP-CHANGES-OKAYED-AND-DONE.",WHEN ACUP-CHANGES-OK-NOT-CONFIRMED\n AND CCARD-AID-PFK05\n   PERFORM 9600-WRITE-PROCESSING\n      THRU 9600-WRITE-PROCESSING-EXIT\n   EVALUATE TRUE\n      WHEN COULD-NOT-LOCK-ACCT-FOR-UPDATE\n           SET ACUP-CHANGES-OKAYED-LOCK-ERROR TO TRUE\n      WHEN LOCKED-BUT-UPDATE-FAILED\n         SET ACUP-CHANGES-OKAYED-BUT-FAILED TO TRUE\n      WHEN DATA-WAS-CHANGED-BEFORE-UPDATE\n          SET ACUP-SHOW-DETAILS            TO TRUE\n      WHEN OTHER\n         SET ACUP-CHANGES-OKAYED-AND-DONE   TO TRUE\n   END-EVALUATE,N/A,2602-2615,Account Management — Update,N/A,Optimistic concurrency control via 9700-CHECK-CHANGE-IN-REC - convert to JPA @Version or DB row-level lock with retry
BR-CBADMCDJ-159,CBADMCDJ,159,COBOL,COACTUPC,2000-DECIDE-ACTION - WHEN OK NOT CONFIRMED (other key),N/A,N/A,N/A,N/A,N/A,Data-Validation,ACUP-CHANGES-OK-NOT-CONFIRMED,"When changes are pending confirmation and the user pressed any key other than PF5 (e.g., Enter to revisit, or any other key), redisplay the screen with values still pending. The confirmation state is preserved so the user can review one more time before committing. Only PF5 advances to the actual save; other keys leave the user in the confirm-prompt state.",WHEN ACUP-CHANGES-OK-NOT-CONFIRMED\n    CONTINUE,N/A,2620-2621,Account Management — Update,N/A,None
BR-CBADMCDJ-160,CBADMCDJ,160,COBOL,COACTUPC,2000-DECIDE-ACTION - WHEN OKAYED-AND-DONE,N/A,N/A,N/A,N/A,N/A,Initialization,"ACUP-CHANGES-OKAYED-AND-DONE,CDEMO-FROM-TRANID,CDEMO-ACCT-ID,CDEMO-CARD-NUM","After a successful update and confirmation cycle, set ACUP-SHOW-DETAILS to display the success and reset all search/context fields (account ID, card number, account status) when invoked standalone (not from a calling tranid). The reset clears the screen for the next account update, supporting back-to-back data-entry workflows. When invoked from another tranid, the search context is preserved so the calling program can resume.",WHEN ACUP-CHANGES-OKAYED-AND-DONE\n    SET ACUP-SHOW-DETAILS TO TRUE\n    IF CDEMO-FROM-TRANID    EQUAL LOW-VALUES\n    OR CDEMO-FROM-TRANID    EQUAL SPACES\n       MOVE ZEROES       TO CDEMO-ACCT-ID\n                            CDEMO-CARD-NUM\n       MOVE LOW-VALUES   TO CDEMO-ACCT-STATUS\n    END-IF,N/A,2625-2632,Account Management — Update,N/A,None
BR-CBADMCDJ-161,CBADMCDJ,161,COBOL,COACTUPC,2000-DECIDE-ACTION - WHEN OTHER (unexpected),N/A,N/A,N/A,N/A,N/A,Error-Handling,"ABEND-CULPRIT,ABEND-CODE","Unexpected control state — move ABEND-CULPRIT, code 0001, and message ""UNEXPECTED DATA SCENARIO"" then perform ABEND-ROUTINE to terminate the task with abend code 9999. This branch fires when none of the expected control flags are set, indicating a logic error or corrupted communication area. It is a defensive last-resort handler.",WHEN OTHER\n     MOVE LIT-THISPGM    TO ABEND-CULPRIT\n     MOVE '0001'         TO ABEND-CODE\n     MOVE SPACES         TO ABEND-REASON\n     MOVE 'UNEXPECTED DATA SCENARIO'\n                         TO ABEND-MSG\n     PERFORM ABEND-ROUTINE\n        THRU ABEND-ROUTINE-EXIT,N/A,2633-2640,Account Management — Update,N/A,Hardcoded abend code 0001 - replace with structured exception
BR-CBADMCDJ-162,CBADMCDJ,162,COBOL,COACTUPC,3000-SEND-MAP,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,"Wrapper that orchestrates screen rendering: 3100 initialize header (date/time/title), 3200 set up data variables based on current state, 3250 prepare info message, 3300 set field attributes, 3390 set info message attributes, 3400 send. Each sub-paragraph has a single responsibility and is invoked in fixed order. This wrapper is the single entry point into the screen-output pipeline.",PERFORM 3100-SCREEN-INIT\n   THRU 3100-SCREEN-INIT-EXIT\nPERFORM 3200-SETUP-SCREEN-VARS\n   THRU 3200-SETUP-SCREEN-VARS-EXIT\nPERFORM 3250-SETUP-INFOMSG\n   THRU 3250-SETUP-INFOMSG-EXIT\nPERFORM 3300-SETUP-SCREEN-ATTRS\n   THRU 3300-SETUP-SCREEN-ATTRS-EXIT\nPERFORM 3390-SETUP-INFOMSG-ATTRS\n   THRU 3390-SETUP-INFOMSG-ATTRS-EXIT\nPERFORM 3400-SEND-SCREEN\n   THRU 3400-SEND-SCREEN-EXIT,N/A,2649-2662,Account Management — Update,N/A,None
BR-CBADMCDJ-163,CBADMCDJ,163,COBOL,COACTUPC,3100-SCREEN-INIT,N/A,N/A,N/A,N/A,N/A,Date-Time,N/A,"Initializes the screen output area, captures current system date/time, and populates the screen header (title, transaction-id, program-name, current date MM/DD/YY, current time HH:MM:SS). The header is refreshed on every send so the user sees a current timestamp. Date/time formatting uses the standard COBOL intrinsic functions.",MOVE LOW-VALUES TO CACTUPAO\nMOVE FUNCTION CURRENT-DATE     TO WS-CURDATE-DATA\nMOVE WS-CURDATE-MONTH          TO WS-CURDATE-MM\nMOVE WS-CURDATE-DAY            TO WS-CURDATE-DD\nMOVE WS-CURDATE-YEAR(3:2)      TO WS-CURDATE-YY\nMOVE WS-CURDATE-MM-DD-YY       TO CURDATEO OF CACTUPAO,CURRENT-DATE,2668-2692,Account Management — Update,N/A,None
BR-CBADMCDJ-164,CBADMCDJ,164,COBOL,COACTUPC,3200-SETUP-SCREEN-VARS,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,"Dispatcher: when context is ENTER, perform 3201 to show empty fields with prompt; when ACUP-DETAILS-FETCHED for the first time, perform 3202 to show original values; otherwise (re-edit), perform 3203 to show user-modified values that pass validation. This three-way branch handles the empty-screen, first-display, and re-edit states of the update workflow.",IF CDEMO-PGM-ENTER\n   PERFORM 3201-SHOW-INITIAL-VALUES\n      THRU 3201-SHOW-INITIAL-VALUES-EXIT\nELSE\n   IF ACUP-DETAILS-FETCHED-FIRST-TIME\n      PERFORM 3202-SHOW-ORIGINAL-VALUES\n         THRU 3202-SHOW-ORIGINAL-VALUES-EXIT\n   ELSE\n      PERFORM 3203-SHOW-UPDATED-VALUES\n         THRU 3203-SHOW-UPDATED-VALUES-EXIT\n   END-IF\nEND-IF,N/A,2698-2726,Account Management — Update,N/A,None
BR-CBADMCDJ-165,CBADMCDJ,165,COBOL,COACTUPC,3201-SHOW-INITIAL-VALUES,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,Empty edit screen: clears all 30+ output fields to spaces or low-values to prompt the user for the search key (Account ID). Only the Account ID field is unprotected; all other fields are read-only until details are fetched. This preserves the principle of least privilege on the edit form.,MOVE SPACES TO ACCTSIDO OF CACTUPAO\nMOVE SPACES TO ACSTTUSO OF CACTUPAO\n...,N/A,2731-2782,Account Management — Update,N/A,None
BR-CBADMCDJ-166,CBADMCDJ,166,COBOL,COACTUPC,3202-SHOW-ORIGINAL-VALUES,ACCTDAT,ACCT-ID(PIC 9(11))|ACCT-ACTIVE-STATUS(PIC X(1))|ACCT-CURR-BAL(PIC S9(10)V99)|ACCT-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-CASH-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-OPEN-DATE(PIC X(10))|ACCT-EXPIRAION-DATE(PIC X(10))|ACCT-REISSUE-DATE(PIC X(10))|ACCT-CURR-CYC-CREDIT(PIC S9(10)V99)|ACCT-CURR-CYC-DEBIT(PIC S9(10)V99)|ACCT-ADDR-ZIP(PIC X(10))|ACCT-GROUP-ID(PIC X(10))|FILLER(PIC X(178)),300,N/A,N/A,Initialization,"ACUP-OLD-ACCT-ID-X,ACUP-OLD-CURR-BAL","Populates output fields from the ACUP-OLD-* (just-read) structure: account ID, active status, balances, limits, dates, group ID; customer ID, names, address, phone numbers, SSN, DOB, EFT, primary card holder, FICO. This is the canonical first-display state — what the user sees immediately after fetching the record. All amounts are formatted from packed-decimal to display-friendly text.",MOVE ACUP-OLD-ACCT-ID-X        TO ACCTSIDO OF CACTUPAO\nMOVE ACUP-OLD-ACTIVE-STATUS    TO ACSTTUSO OF CACTUPAO\nMOVE ACUP-OLD-CURR-BAL         TO ACURBALO OF CACTUPAO\n...,N/A,2787-2866,Account Management — Update,N/A,Packed-decimal (COMP-3) arithmetic - map to BigDecimal in Java or Decimal in Spark
BR-CBADMCDJ-167,CBADMCDJ,167,COBOL,COACTUPC,3203-SHOW-UPDATED-VALUES,N/A,N/A,N/A,N/A,N/A,Initialization,"ACUP-NEW-ACCT-ID-X,ACUP-NEW-CURR-BAL-X","Populates output fields from the ACUP-NEW-* (user-edited) structure so the user sees their unsaved edits when the screen is redisplayed (e.g., after PF5 confirm prompt or edit error). This branch preserves the user's in-progress changes across pseudo-conversational round-trips. Saved values are retained until the user confirms or cancels.",MOVE ACUP-NEW-ACCT-ID-X        TO ACCTSIDO OF CACTUPAO\nMOVE ACUP-NEW-ACTIVE-STATUS    TO ACSTTUSO OF CACTUPAO\nMOVE ACUP-NEW-CURR-BAL-X       TO ACURBALO OF CACTUPAO\n...,N/A,2870-2950,Account Management — Update,N/A,None
BR-CBADMCDJ-168,CBADMCDJ,168,COBOL,COACTUPC,3250-SETUP-INFOMSG,N/A,N/A,N/A,N/A,N/A,Initialization,"ACUP-DETAILS-NOT-FETCHED,ACUP-CHANGES-OK-NOT-CONFIRMED","Sets the user-facing info message based on the program state: ""Enter or update id of account to display"" for fresh entry, ""Press PF5 to save changes, PF12 to cancel"" for pending confirmation, ""Account updated successfully"" for success, ""No changes detected"" when user re-submits unchanged data. The message guides the user through each step of the workflow. Severity (color) is set separately by 3390-SETUP-INFOMSG-ATTRS.",EVALUATE TRUE\n    WHEN ACUP-DETAILS-NOT-FETCHED\n         SET WS-PROMPT-FOR-INPUT TO TRUE\n    WHEN ACUP-CHANGES-OK-NOT-CONFIRMED\n         SET WS-INFORM-CONFIRM TO TRUE\n    ...,N/A,2955-2982,Account Management — Update,N/A,None
BR-CBADMCDJ-169,CBADMCDJ,169,COBOL,COACTUPC,3300-SETUP-SCREEN-ATTRS,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,Massive paragraph (~450 lines) that sets the BMS attribute byte and color for every input field. Uses a flag-driven decision tree to set red/default colors per validation flag (FLG-*-NOT-OK / FLG-*-ISVALID). Performs 3310-PROTECT-ALL-ATTRS on display screens and 3320-UNPROTECT-FEW-ATTRS only for the editable fields.,EVALUATE TRUE\n    WHEN FLG-ACCTFILTER-NOT-OK\n         MOVE DFHRED  TO ACCTSIDC OF CACTUPAO\n    WHEN OTHER\n         MOVE DFHDFCOL TO ACCTSIDC OF CACTUPAO\nEND-EVALUATE\n(repeated for each field),N/A,2986-3436,Account Management — Update,N/A,None
BR-CBADMCDJ-170,CBADMCDJ,170,COBOL,COACTUPC,3310-PROTECT-ALL-ATTRS,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,"Sets the BMS protection attribute byte (DFHBMPRO) on every input field, making them read-only. Used when the screen is in display-only state (e.g., showing original values before user begins editing).",MOVE DFHBMPRO  TO ACCTSIDA OF CACTUPAI\nMOVE DFHBMPRO  TO ACSTTUSA OF CACTUPAI\n...,N/A,3441-3495,Account Management — Update,N/A,None
BR-CBADMCDJ-171,CBADMCDJ,171,COBOL,COACTUPC,3320-UNPROTECT-FEW-ATTRS,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,"Sets the BMS unprotect attribute on the subset of fields the user is allowed to edit, leaving read-only fields like dates and IDs protected. This enforces the edit-permission policy at the screen-rendering layer rather than relying on validation alone. Protected fields are visually distinguished in the 3270 rendering.",MOVE DFHBMFSE  TO ACSTTUSA OF CACTUPAI\nMOVE DFHBMFSE  TO ACRDLIMA OF CACTUPAI\n...,N/A,3500-3561,Account Management — Update,N/A,None
BR-CBADMCDJ-172,CBADMCDJ,172,COBOL,COACTUPC,3390-SETUP-INFOMSG-ATTRS,N/A,N/A,N/A,N/A,N/A,Initialization,N/A,"Sets the color attribute on the info message line: dark for blank (no info), neutral for informational message, red for warning. This visual cue helps users distinguish prompts from errors at a glance. The color attribute is sent on every screen render even when the message text is unchanged.",IF  WS-NO-INFO-MESSAGE\n    MOVE DFHBMDAR           TO INFOMSGC OF CACTUPAO\nELSE\n    MOVE DFHNEUTR           TO INFOMSGC OF CACTUPAO\nEND-IF,N/A,3566-3583,Account Management — Update,N/A,None
BR-CBADMCDJ-173,CBADMCDJ,173,COBOL,COACTUPC,3400-SEND-SCREEN,N/A,N/A,N/A,COACTUP,N/A (BMS symbolic map),File-IO,N/A,"Sends the populated CACTUP map back to the user with CURSOR, ERASE, FREEKB and sets program context to REENTER for the next iteration. The CURSOR option positions the cursor on the field flagged as the next user-action target; ERASE clears the previous screen image; FREEKB unlocks the keyboard so the user can type. The REENTER flag tells the next iteration that this is not first-entry.",MOVE LIT-THISMAPSET         TO CCARD-NEXT-MAPSET\nMOVE LIT-THISMAP            TO CCARD-NEXT-MAP\nSET  CDEMO-PGM-REENTER TO TRUE\nEXEC CICS SEND MAP(CCARD-NEXT-MAP)\n               MAPSET(CCARD-NEXT-MAPSET)\n               FROM(CACTUPAO)\n               CURSOR\n               ERASE\n               FREEKB\n               RESP(WS-RESP-CD)\nEND-EXEC,N/A,3589-3602,Account Management — Update,N/A,None
BR-CBADMCDJ-174,CBADMCDJ,174,COBOL,COACTUPC,9000-READ-ACCT,N/A,N/A,N/A,N/A,N/A,File-IO,"CC-ACCT-ID,CDEMO-CUST-ID","Coordinator that fetches the cross-reference (9200), the account master (9300), the customer master (9400), and stores the fetched data as old-values (9500) for later comparison. Each step short-circuits on lookup failure.",INITIALIZE ACUP-OLD-DETAILS\nMOVE CC-ACCT-ID              TO ACUP-OLD-ACCT-ID\n                                WS-CARD-RID-ACCT-ID\nPERFORM 9200-GETCARDXREF-BYACCT\n   THRU 9200-GETCARDXREF-BYACCT-EXIT\nIF FLG-ACCTFILTER-NOT-OK\n   GO TO 9000-READ-ACCT-EXIT\nEND-IF\nPERFORM 9300-GETACCTDATA-BYACCT\n   THRU 9300-GETACCTDATA-BYACCT-EXIT\n...,N/A,3608-3644,Account Management — Update,N/A,GOTO statement - control flow that needs restructuring
BR-CBADMCDJ-175,CBADMCDJ,175,COBOL,COACTUPC,9200-GETCARDXREF-BYACCT - WHEN NORMAL,CXACAIX,XREF-CARD-NUM(PIC X(16))|XREF-CUST-ID(PIC 9(9))|XREF-ACCT-ID(PIC 9(11))|FILLER(PIC X(14)),50,N/A,N/A,File-IO,"WS-CARD-RID-ACCT-ID-X,XREF-CUST-ID,XREF-CARD-NUM","Reads the Card Cross-Reference VSAM by account-ID alternate index. On success, copy the customer ID and card number into the commarea fields.",EXEC CICS READ\n     DATASET   (LIT-CARDXREFNAME-ACCT-PATH)\n     RIDFLD    (WS-CARD-RID-ACCT-ID-X)\n     ...\nEND-EXEC\nEVALUATE WS-RESP-CD\n    WHEN DFHRESP(NORMAL)\n       MOVE XREF-CUST-ID     TO CDEMO-CUST-ID\n       MOVE XREF-CARD-NUM    TO CDEMO-CARD-NUM,N/A,3654-3667,Account Management — Update,N/A,None
BR-CBADMCDJ-176,CBADMCDJ,176,COBOL,COACTUPC,9200-GETCARDXREF-BYACCT - WHEN NOTFND,CXACAIX,XREF-CARD-NUM(PIC X(16))|XREF-CUST-ID(PIC 9(9))|XREF-ACCT-ID(PIC 9(11))|FILLER(PIC X(14)),50,N/A,N/A,Error-Handling,WS-CARD-RID-ACCT-ID-X,"When no cross-reference record exists for the given account ID, set INPUT-ERROR and NOT-OK filter, build a diagnostic return message via STRING. The diagnostic embeds the account ID and response/reason codes so a support engineer can trace the failure. The user sees a generic ""Account/Card relationship not found"" message; the diagnostic is for the audit trail.",WHEN DFHRESP(NOTFND)\n    SET INPUT-ERROR                 TO TRUE\n    SET FLG-ACCTFILTER-NOT-OK       TO TRUE\n    STRING 'Account:' WS-CARD-RID-ACCT-ID-X\n    ' not found in Cross ref file.  Resp:' ERROR-RESP\n    ' Reas:' ERROR-RESP2\n    DELIMITED BY SIZE\n    INTO WS-RETURN-MSG\n    END-STRING,N/A,3668-3685,Account Management — Update,N/A,None
BR-CBADMCDJ-177,CBADMCDJ,177,COBOL,COACTUPC,9200-GETCARDXREF-BYACCT - WHEN OTHER,CXACAIX,XREF-CARD-NUM(PIC X(16))|XREF-CUST-ID(PIC 9(9))|XREF-ACCT-ID(PIC 9(11))|FILLER(PIC X(14)),50,N/A,N/A,Error-Handling,N/A,Generic file-error handler for non-NORMAL non-NOTFND responses. Builds the WS-FILE-ERROR-MESSAGE template; SEND-LONG-TEXT call is commented out.,WHEN OTHER\n    MOVE 'READ'                     TO ERROR-OPNAME\n    MOVE LIT-CARDXREFNAME-ACCT-PATH TO ERROR-FILE\n    MOVE WS-FILE-ERROR-MESSAGE      TO WS-RETURN-MSG\n*    PERFORM SEND-LONG-TEXT,N/A,3686-3696,Account Management — Update,N/A,Commented-out SEND-LONG-TEXT - error detail not logged for ops; replace with structured logging in cloud target
BR-CBADMCDJ-178,CBADMCDJ,178,COBOL,COACTUPC,9300-GETACCTDATA-BYACCT - WHEN NORMAL,ACCTDAT,ACCT-ID(PIC 9(11))|ACCT-ACTIVE-STATUS(PIC X(1))|ACCT-CURR-BAL(PIC S9(10)V99)|ACCT-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-CASH-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-OPEN-DATE(PIC X(10))|ACCT-EXPIRAION-DATE(PIC X(10))|ACCT-REISSUE-DATE(PIC X(10))|ACCT-CURR-CYC-CREDIT(PIC S9(10)V99)|ACCT-CURR-CYC-DEBIT(PIC S9(10)V99)|ACCT-ADDR-ZIP(PIC X(10))|ACCT-GROUP-ID(PIC X(10))|FILLER(PIC X(178)),300,N/A,N/A,File-IO,"WS-CARD-RID-ACCT-ID-X,ACCT-ID","Reads the Account Master by account ID. On success, set FOUND-ACCT-IN-MASTER for downstream display logic.",EXEC CICS READ\n     DATASET   (LIT-ACCTFILENAME)\n     RIDFLD    (WS-CARD-RID-ACCT-ID-X)\n     INTO      (ACCOUNT-RECORD)\n     ...\nEND-EXEC\nEVALUATE WS-RESP-CD\n    WHEN DFHRESP(NORMAL)\n       SET FOUND-ACCT-IN-MASTER  TO TRUE,N/A,3703-3715,Account Management — Update,N/A,Packed-decimal (COMP-3) arithmetic - map to BigDecimal in Java or Decimal in Spark
BR-CBADMCDJ-179,CBADMCDJ,179,COBOL,COACTUPC,9300-GETACCTDATA-BYACCT - WHEN NOTFND,ACCTDAT,ACCT-ID(PIC 9(11))|ACCT-ACTIVE-STATUS(PIC X(1))|ACCT-CURR-BAL(PIC S9(10)V99)|ACCT-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-CASH-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-OPEN-DATE(PIC X(10))|ACCT-EXPIRAION-DATE(PIC X(10))|ACCT-REISSUE-DATE(PIC X(10))|ACCT-CURR-CYC-CREDIT(PIC S9(10)V99)|ACCT-CURR-CYC-DEBIT(PIC S9(10)V99)|ACCT-ADDR-ZIP(PIC X(10))|ACCT-GROUP-ID(PIC X(10))|FILLER(PIC X(178)),300,N/A,N/A,Error-Handling,N/A,"When the account master read returns NOTFND, set error flags and build a return message ""Account:NN not found in Acct Master file. Resp:NN Reas:NN"". The embedded codes help operations and support staff diagnose the failure. This is a soft error — the user can correct the Account ID and retry; no abend is raised.",WHEN DFHRESP(NOTFND)\n    SET INPUT-ERROR                 TO TRUE\n    SET FLG-ACCTFILTER-NOT-OK       TO TRUE\n    STRING 'Account:' WS-CARD-RID-ACCT-ID-X\n    ' not found in Acct Master file.Resp:' ERROR-RESP\n    ' Reas:' ERROR-RESP2\n    DELIMITED BY SIZE\n    INTO WS-RETURN-MSG\n    END-STRING,N/A,3716-3734,Account Management — Update,N/A,None
BR-CBADMCDJ-180,CBADMCDJ,180,COBOL,COACTUPC,9300-GETACCTDATA-BYACCT - WHEN OTHER,ACCTDAT,ACCT-ID(PIC 9(11))|ACCT-ACTIVE-STATUS(PIC X(1))|ACCT-CURR-BAL(PIC S9(10)V99)|ACCT-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-CASH-CREDIT-LIMIT(PIC S9(10)V99)|ACCT-OPEN-DATE(PIC X(10))|ACCT-EXPIRAION-DATE(PIC X(10))|ACCT-REISSUE-DATE(PIC X(10))|ACCT-CURR-CYC-CREDIT(PIC S9(10)V99)|ACCT-CURR-CYC-DEBIT(PIC S9(10)V99)|ACCT-ADDR-ZIP(PIC X(10))|ACCT-GROUP-ID(PIC X(10))|FILLER(PIC X(178)),300,N/A,N/A,Error-Handling,N/A,Generic file-error handler for non-NORMAL non-NOTFND on the account master read; copies WS-FILE-ERROR-MESSAGE to WS-RETURN-MSG. SEND-LONG-TEXT commented out.,WHEN OTHER\n    MOVE 'READ'                     TO ERROR-OPNAME\n    MOVE LIT-ACCTFILENAME           TO ERROR-FILE\n    MOVE WS-FILE-ERROR-MESSAGE      TO WS-RETURN-MSG,N/A,3736-3745,Account Management — Update,N/A,Commented-out SEND-LONG-TEXT - error detail not logged
